SD NO.,SD_Name,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JAN-FEB,Mar-May,Jun-Sep,Oct-Dec
33,NORTH INTERIOR KARNATAKA,1982,0.1,0,0.7,13.9,62.5,89.5,161,86.6,140,85.3,43.6,0,683.2,0.1,77.1,477.1,128.9
34,SOUTH INTERIOR KARNATAKA,1982,0.1,0,2,18,97.8,151.3,216.4,240.2,127.7,96.1,50.2,0.2,1000,0.1,117.8,735.6,146.5
35,KERALA,1982,0.7,0.1,21.9,60.4,148.2,612.2,511.5,495,70.6,164.4,127.5,10.8,2223.3,0.8,230.5,1689.3,302.7
36,LAKSHADWEEP ,1982,1.6,0.4,0.6,0.4,106.8,321.6,254.5,326.1,121.3,70.7,178.6,9.4,1392,2,107.8,1023.5,258.7
1,ANDAMAN & NICOBAR ISLANDS,1983,22.1,0,3.1,9.1,240.8,424.3,468.9,493.8,505.5,275.8,261,88.1,2792.5,22.1,253,1892.5,624.9
2,ARUNACHAL PRADESH,1983,65.4,171.1,217.6,351.2,301.9,551,563.2,389.9,476.4,191.7,14.9,40.8,3335.1,236.5,870.7,1980.5,247.4
3,ASSAM & MEGHALAYA,1983,15,37.7,83.5,168.2,273.8,360.3,643.6,484.6,461.5,168.5,7,22.8,2726.5,52.7,525.5,1950,198.3
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1983,20.3,50.5,244.5,304.1,396.6,370.8,325.6,384.4,232,192,6.2,29.8,2556.8,70.8,945.2,1312.8,228
5,SUB-HIMALAYAN W BENGAL & SIKKIM,1983,25.4,89.6,35.3,87.7,327.9,567.7,648.2,305.9,544.7,110.2,7,19.1,2768.7,115,450.9,2066.5,136.3
6,GANGETIC WEST BENGAL,1983,9.1,39.2,47,44.2,132.5,188.9,207.6,365.4,247.4,167.6,1.1,13.6,1463.6,48.3,223.7,1009.3,182.3
7,ORISSA,1983,1.9,55,22.1,47.6,67.6,153,273.1,379.5,324.6,100.7,2,5,1432.1,56.9,137.3,1130.2,107.7
8,JHARKHAND,1983,4.3,33.1,9.9,44.4,83.3,131.8,280,240.6,308.8,110.7,0.2,14.7,1261.8,37.4,137.6,961.2,125.6
9,BIHAR ,1983,13.1,3.5,8,45,81.1,101.2,353.8,195.8,220.6,69.9,0,14.1,1106.1,16.6,134.1,871.4,84
10,EAST UTTAR PRADESH,1983,20,1.6,0.7,24.9,45.9,104.2,271,242.5,364.2,110.4,0,19.6,1205,21.6,71.5,981.9,130
11,WEST UTTAR PRADESH,1983,28.1,5.4,5.5,59.8,33.7,89.7,306.7,385.5,212.6,50.7,0,14,1191.7,33.5,99,994.5,64.7
12,UTTARANCHAL,1983,80.9,45.5,92.1,132.9,101,114.1,261.3,312.9,320,53.8,1.6,9.1,1525.2,126.4,326,1008.3,64.5
13,"HARYANA, DELHI & CHANDIGARH",1983,37.1,5.2,6.5,82.1,34.6,30,216.4,239.3,82.4,6.3,0,3.6,743.5,42.3,123.2,568.1,9.9
14,PUNJAB ,1983,65.3,26.7,27.4,113.2,48.2,26.6,151.9,208.1,69.7,12.2,0,1.7,751,92,188.8,456.3,13.9
15,HIMACHAL PRADESH,1983,91.7,97.6,162.8,136.7,86.1,59.2,166.7,204.2,121.5,48.2,1,13.9,1189.6,189.3,385.6,551.6,63.1
16,JAMMU & KASHMIR,1983,114.5,88.2,323.7,199,106.3,63.1,156.7,181.2,90.7,38.3,14.1,26,1401.8,202.7,629,491.7,78.4
17,WEST RAJASTHAN ,1983,2.8,0.8,2.1,36.1,37.3,33.4,183.8,111.4,51.6,10,0,0,469.3,3.6,75.5,380.2,10
18,EAST  RAJASTHAN ,1983,3.7,1.7,0.1,30,32.5,71.5,257.6,239.1,127.5,31.5,0,0.1,795.3,5.4,62.6,695.7,31.6
19,WEST MADHYA PRADESH,1983,4.8,0.6,0.1,13.7,13.9,88.3,238.2,372.5,291.5,55.2,0,1.1,1079.9,5.4,27.7,990.5,56.3
20,EAST MADHYA PRADESH,1983,10.5,12.4,0.2,7.9,10.3,98.1,350.9,319.8,396.4,64.9,0,4.1,1275.5,22.9,18.4,1165.2,69
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",1983,0.1,0,0,7.8,1.4,134,408.9,406.6,182.8,80.2,0,0,1221.8,0.1,9.2,1132.3,80.2
22,SAURASHTRA KUTCH & DIU,1983,0.2,0.1,0,1.3,0.4,220.6,216,242.8,68.8,18.1,0,0,768.3,0.3,1.7,748.2,18.1
23,KOKAN & GOA,1983,0,0,0,0.4,0.4,654.2,1079.4,1321.4,630.7,113.6,9.7,3.2,3813,0,0.8,3685.7,126.5
24,MADHYA MAHARASHTRA,1983,0.1,1.4,0,0,2.8,125.3,218.1,259.4,263,43.2,2.5,2.8,918.6,1.5,2.8,865.8,48.5
25,MARATWADA ,1983,0,0,0.3,0.3,6,96.8,231.9,315.4,422.3,106.8,1,6.9,1187.7,0,6.6,1066.4,114.7
26,VIDARBHA,1983,1.6,7.4,1.9,1.5,6.7,156.4,327.9,376.7,289.8,58.4,0,12.2,1240.5,9,10.1,1150.8,70.6
27,CHATTISGARH,1983,0.3,25.9,1.3,18.9,28.8,154.3,328.1,407.8,320,59.2,0.5,9.7,1354.8,26.2,49,1210.2,69.4
28,COSTAL ANDHRA PRADESH,1983,0.1,14,2.4,5.7,45.9,116.2,192.2,244.9,249.1,222,39.2,29.4,1161.1,14.1,54,802.4,290.6
29,TELENGANA,1983,0,2.5,1.1,4.3,33.1,133.9,262.2,406.1,319.6,186.8,5.8,6.8,1362.2,2.5,38.5,1121.8,199.4
30,RAYALSEEMA,1983,0,0.7,2.3,2.8,54.4,62.9,83.2,171,242.8,95,22.6,54.6,792.3,0.7,59.5,559.9,172.2
31,TAMIL NADU & PONDICHERRY,1983,0.2,0.2,1.9,5.5,86.9,72.9,77.9,132,154.6,138.7,94.5,242.6,1007.9,0.4,94.3,437.4,475.8
32,COASTAL KARNATAKA,1983,0,0,0,0,24.4,712.6,1160.4,1231.8,596.5,140.9,50.3,25.2,3942.1,0,24.4,3701.3,216.4
33,NORTH INTERIOR KARNATAKA,1983,0,0,0,0.3,26.8,179.4,141.2,174.9,203.4,66.1,8.4,8.7,809.2,0,27.1,698.9,83.2
34,SOUTH INTERIOR KARNATAKA,1983,0,0,0.9,4.6,75.2,215.2,206.4,262.5,186.8,97.8,21.4,39.1,1109.9,0,80.7,870.9,158.3
35,KERALA,1983,0.2,1.5,0.9,13.1,76,322.8,583.2,579.9,497.6,136.2,116.5,69.1,2397,1.7,90,1983.5,321.8
36,LAKSHADWEEP ,1983,1.4,0,0,0.2,113.5,215,277,375,219.8,77.6,71.2,52.5,1403.2,1.4,113.7,1086.8,201.3
1,ANDAMAN & NICOBAR ISLANDS,1984,69.4,173.8,26.3,156.6,162.3,424.9,446.4,125.8,283.6,347.1,158.9,445.2,2820.3,243.2,345.2,1280.7,951.2
2,ARUNACHAL PRADESH,1984,98.1,42.8,166.9,389.3,448.7,417.3,671,309.2,455.5,184.1,5.7,89.5,3278.1,140.9,1004.9,1853,279.3
3,ASSAM & MEGHALAYA,1984,22,6.8,29.8,200.1,436.5,574.9,1328.1,413.3,477,191.4,6.1,21.5,3707.5,28.8,666.4,2793.3,219
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1984,23.4,2.7,0,121.1,743,494.3,253.8,387.2,250.2,120.4,2.1,9.9,2408.1,26.1,864.1,1385.5,132.4
5,SUB-HIMALAYAN W BENGAL & SIKKIM,1984,29,11.1,75.2,154.7,340.8,444,666.4,337.5,365.2,193.5,3.8,12.9,2634.1,40.1,570.7,1813.1,210.2
6,GANGETIC WEST BENGAL,1984,19.1,2.6,0.6,46.6,82.6,597.1,332.7,442.2,196.4,111.8,0,0,1831.7,21.7,129.8,1568.4,111.8
7,ORISSA,1984,9.3,6.7,3.4,46,34.6,302.6,369.6,422.3,127.3,55.4,0,0.3,1377.5,16,84,1221.8,55.7
8,JHARKHAND,1984,33.4,26.2,1.6,14.1,31,479.6,350.4,387.3,155.8,50.2,0.1,0.1,1529.8,59.6,46.7,1373.1,50.4
9,BIHAR ,1984,29.8,33.9,1.3,11.2,65.6,353.4,476.4,216.9,225.2,15.4,1.5,3,1433.6,63.7,78.1,1271.9,19.9
10,EAST UTTAR PRADESH,1984,24,23.5,1.4,9.4,10.7,286.9,329.7,203.7,164.1,18.5,0,4.7,1076.6,47.5,21.5,984.4,23.2
11,WEST UTTAR PRADESH,1984,24.7,27.5,0.6,7.4,0.3,134.5,200.2,268.3,116.6,0.4,0,0.7,781.2,52.2,8.3,719.6,1.1
12,UTTARANCHAL,1984,19.6,128.9,14.6,42,27.5,300.1,359.3,237.7,173.5,3.2,2.6,30.1,1339.1,148.5,84.1,1070.6,35.9
13,"HARYANA, DELHI & CHANDIGARH",1984,2.4,14.5,0.4,2.6,0.5,50.2,157.2,179.5,72.4,0.9,0,0.3,480.9,16.9,3.5,459.3,1.2
14,PUNJAB ,1984,2.4,67.2,13.9,9.3,1.3,50.2,220.2,214.5,125.7,0.2,0.6,4.9,710.4,69.6,24.5,610.6,5.7
15,HIMACHAL PRADESH,1984,24.3,134.5,38.7,68.6,14.7,105,194.4,192.5,121.5,10.6,25.1,38.4,968.3,158.8,122,613.4,74.1
16,JAMMU & KASHMIR,1984,33.5,180.6,101.8,148.7,60.1,59.7,134.5,152.6,86.6,2.1,52.3,77.3,1089.8,214.1,310.6,433.4,131.7
17,WEST RAJASTHAN ,1984,0.1,2.8,0.1,1.1,0,8.7,50.4,85.3,54.5,0.1,0.2,0,203.3,2.9,1.2,198.9,0.3
18,EAST  RAJASTHAN ,1984,1.3,0.3,0,0.2,0.3,32,145.2,266.8,109.1,0.1,0,0,555.3,1.6,0.5,553.1,0.1
19,WEST MADHYA PRADESH,1984,15.2,6.1,0,0.1,0,63.5,165.3,536,60.3,12.5,0,0.5,859.5,21.3,0.1,825.1,13
20,EAST MADHYA PRADESH,1984,53.7,37.6,0,3.4,2,91.4,202,590.3,114,14.8,0,1.5,1110.7,91.3,5.4,997.7,16.3
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",1984,0,0,0,0,0,83.8,252.5,421.9,91.7,5.5,1.6,0,857,0,0,849.9,7.1
22,SAURASHTRA KUTCH & DIU,1984,0,0,0,0,0,51.3,117.7,153.9,119.6,0,0,0,442.5,0,0,442.5,0
23,KOKAN & GOA,1984,0,0.2,0.1,0.9,0.3,725.8,1056.1,451.8,221.9,109.9,3,0.3,2570.3,0.2,1.3,2455.6,113.2
24,MADHYA MAHARASHTRA,1984,0.6,11.2,3.7,4.6,0.6,109.6,260.8,140,133.2,109.1,4.7,1.7,779.8,11.8,8.9,643.6,115.5
25,MARATWADA ,1984,3.1,9.5,0.4,0.8,0,75.7,168.5,59.8,120.1,106.2,5.4,3.3,552.8,12.6,1.2,424.1,114.9
26,VIDARBHA,1984,26.9,18.6,0.4,3.2,0.4,105.6,258.6,271,48.7,76.6,0,0.6,810.6,45.5,4,683.9,77.2
27,CHATTISGARH,1984,33.3,11.7,0.1,28.1,16.9,282.9,324.6,391.9,98.7,55.7,0.2,0,1244.1,45,45.1,1098.1,55.9
28,COSTAL ANDHRA PRADESH,1984,4.8,48.2,3.4,16.9,13.1,69.7,182.1,78.6,141,112.4,113.7,20.3,804.2,53,33.4,471.4,246.4
29,TELENGANA,1984,4.2,4.9,3.8,15.9,4.1,91.4,248.1,102,113.3,84.9,4.5,0.3,677.4,9.1,23.8,554.8,89.7
30,RAYALSEEMA,1984,3.5,47,27.1,12.8,10,24,152.3,17.4,106.8,71.5,73.9,30,576.3,50.5,49.9,300.5,175.4
31,TAMIL NADU & PONDICHERRY,1984,34.5,131.3,101.7,45.4,21.6,43.6,149.5,38,151.3,134.8,113.5,58.5,1023.7,165.8,168.7,382.4,306.8
32,COASTAL KARNATAKA,1984,4.3,6,34.2,46.7,24,1110.2,1084.1,613.6,196.8,227.9,11.2,0.1,3359.1,10.3,104.9,3004.7,239.2
33,NORTH INTERIOR KARNATAKA,1984,0.5,3.5,6.2,14.3,8,65.1,220.2,61.4,130.6,113.1,0.9,0.1,623.9,4,28.5,477.3,114.1
34,SOUTH INTERIOR KARNATAKA,1984,2.1,7.2,76,39.2,45.7,195.9,257.4,122,169.6,143.1,5.9,4.4,1068.5,9.3,160.9,744.9,153.4
35,KERALA,1984,36.8,60,95.3,162.1,84.6,842.6,653.6,284.4,171.1,286,67.7,18,2762.2,96.8,342,1951.7,371.7
36,LAKSHADWEEP ,1984,71.1,114.9,96.7,65.1,46.7,318.9,271.5,124.9,83.1,218.3,155.4,25,1591.6,186,208.5,798.4,398.7
1,ANDAMAN & NICOBAR ISLANDS,1985,12,19.2,24.1,55,278.1,588.4,230.9,375.2,362.5,358.9,232.1,94.4,2630.8,31.2,357.2,1557,685.4
2,ARUNACHAL PRADESH,1985,53.9,79.7,250.7,341.3,338.6,509.3,678.6,336.2,500,117.9,25.8,54.5,3286.5,133.6,930.6,2024.1,198.2
3,ASSAM & MEGHALAYA,1985,8.9,37.9,146.7,281.5,382.2,510.2,848,393.6,342.4,82.8,19.3,18.6,3072.1,46.8,810.4,2094.2,120.7
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1985,8,39.7,94.5,186.9,401.1,547.6,285.7,288.6,269.1,52.3,8.7,9.9,2192.1,47.7,682.5,1391,70.9
5,SUB-HIMALAYAN W BENGAL & SIKKIM,1985,3.6,30.2,44.9,67.8,358.6,532.7,907.4,372.7,464.5,211.9,17.4,27.3,3039,33.8,471.3,2277.3,256.6
6,GANGETIC WEST BENGAL,1985,10.9,22,8.8,24.1,99.6,280.4,286.3,340.6,201.8,137.2,1.8,0,1413.5,32.9,132.5,1109.1,139
7,ORISSA,1985,24.2,35,4.7,16.4,52.9,195.4,305.7,460.9,335.2,175.8,1.1,0,1607.3,59.2,74,1297.2,176.9
8,JHARKHAND,1985,19.1,9.1,1.6,8.8,48.1,131.2,338,312.6,216.6,153.7,0.5,0.9,1240.2,28.2,58.5,998.4,155.1
9,BIHAR ,1985,8.8,0.5,0.5,8,71.4,163.2,481.5,238,289,188,1.2,7.1,1457.2,9.3,79.9,1171.7,196.3
10,EAST UTTAR PRADESH,1985,20.8,0,0.5,2.2,10.4,69.7,351.8,215.7,333.3,158.3,0,13.2,1175.9,20.8,13.1,970.5,171.5
11,WEST UTTAR PRADESH,1985,7.5,0,1.7,7,6.1,52.1,305.9,221.8,206.2,143,0,15.2,966.5,7.5,14.8,786,158.2
12,UTTARANCHAL,1985,54.3,9.5,14,40.7,62.7,103,449.2,389.4,227.8,220.5,3,74.1,1648.2,63.8,117.4,1169.4,297.6
13,"HARYANA, DELHI & CHANDIGARH",1985,3.5,0.3,1.1,8.1,3.1,44.2,256.9,152.4,35.9,42.6,0,24.3,572.4,3.8,12.3,489.4,66.9
14,PUNJAB ,1985,4.8,0.9,3.6,21.2,6.2,55.7,269.5,243.3,51.9,50.2,0.6,45.1,753,5.7,31,620.4,95.9
15,HIMACHAL PRADESH,1985,70.4,23,36.2,65.6,54.3,54.1,301.3,252.7,118,127.6,2.8,88,1194,93.4,156.1,726.1,218.4
16,JAMMU & KASHMIR,1985,82.2,24.4,46.7,85,120.2,56.6,271.9,132.9,30.2,92,6.9,210.8,1159.8,106.6,251.9,491.6,309.7
17,WEST RAJASTHAN ,1985,0.3,0,0.6,8.9,10.9,12.3,97.6,55.2,4.2,4.2,0.3,2.8,197.3,0.3,20.4,169.3,7.3
18,EAST  RAJASTHAN ,1985,0.9,0.1,0.6,3.8,6.1,21.1,177.9,236.4,37.5,87.1,0.2,8.8,580.5,1,10.5,472.9,96.1
19,WEST MADHYA PRADESH,1985,2.1,0,0.2,4.5,4.2,57.9,211.7,294.4,144.4,157.8,0,0,877.2,2.1,8.9,708.4,157.8
20,EAST MADHYA PRADESH,1985,42.7,6.2,0.3,5.5,3.2,94.9,398.1,340.2,127,97.2,0,0,1115.3,48.9,9,960.2,97.2
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",1985,0,0,0,0.8,1.9,14.6,250.5,181.7,18.3,126.1,0,0.3,594.2,0,2.7,465.1,126.4
22,SAURASHTRA KUTCH & DIU,1985,0,0,0,0,4.9,12.2,102.1,117.4,16.9,38.9,0,0,292.4,0,4.9,248.6,38.9
23,KOKAN & GOA,1985,0,0,0,0.4,23.4,989.6,950.3,695.3,154.2,204.6,2.5,0,3020.3,0,23.8,2789.4,207.1
24,MADHYA MAHARASHTRA,1985,2.6,0.2,2.3,9.1,12.3,118.7,189.5,145.1,63.5,107.3,5.4,0,656,2.8,23.7,516.8,112.7
25,MARATWADA ,1985,7.1,0,6.2,10.5,7.6,160.8,148.9,63.9,82.3,86,0.7,1.5,575.5,7.1,24.3,455.9,88.2
26,VIDARBHA,1985,22.5,1.1,1,7.3,9.7,196.8,271.7,181.9,61.9,120.4,0,2.6,876.9,23.6,18,712.3,123
27,CHATTISGARH,1985,31.2,9.2,0.3,8.9,11.9,134.2,388.1,355.1,215.6,77.8,0,0,1232.3,40.4,21.1,1093,77.8
28,COSTAL ANDHRA PRADESH,1985,46.3,0.4,3.1,6.7,16.1,89.6,155.9,132.9,87.9,217.7,93.7,77.9,928.2,46.7,25.9,466.3,389.3
29,TELENGANA,1985,6.6,0,6.5,13.8,16.2,159.4,208.7,151.9,64,109.7,2.5,4.8,744.1,6.6,36.5,584,117
30,RAYALSEEMA,1985,10.6,0,4.3,11.8,19,43.7,105.9,61.6,62.2,110.9,84.7,24.9,539.6,10.6,35.1,273.4,220.5
31,TAMIL NADU & PONDICHERRY,1985,89.7,5.2,11.9,43.9,33.4,108.8,81.2,129.7,161.6,107.3,233.3,57.4,1063.4,94.9,89.2,481.3,398
32,COASTAL KARNATAKA,1985,5.3,0,1.6,12.9,76.9,977.9,668.5,844.3,130.6,258.6,27.5,11.7,3015.8,5.3,91.4,2621.3,297.8
33,NORTH INTERIOR KARNATAKA,1985,2.9,0,6.8,21.7,35,87.6,109.3,68.7,74.6,97.3,1.6,0.6,506.1,2.9,63.5,340.2,99.5
34,SOUTH INTERIOR KARNATAKA,1985,4,0.1,14.5,41.4,53.7,192.6,138.2,172,139.9,67,29.6,5.9,858.9,4.1,109.6,642.7,102.5
35,KERALA,1985,61.2,6.1,29.3,66.6,254.2,828.7,388.9,315.3,117.6,204,74.9,44,2390.8,67.3,350.1,1650.5,322.9
36,LAKSHADWEEP ,1985,6.4,0,27.4,11.1,182.9,326.1,152.1,203,206.4,42,62.3,83.7,1303.4,6.4,221.4,887.6,188
1,ANDAMAN & NICOBAR ISLANDS,1986,14.8,0.6,1.5,8.2,302.6,312.2,308.5,444,408.9,176.1,163.5,47,2187.9,15.4,312.3,1473.6,386.6
2,ARUNACHAL PRADESH,1986,21.1,86.5,115.4,341.4,103.6,403,473.2,360.6,383.8,176.3,38.5,14.7,2518.1,107.6,560.4,1620.6,229.5
3,ASSAM & MEGHALAYA,1986,19.6,11.2,29.8,309,188.7,451.2,525.2,474.5,536.7,366.6,77.4,7.8,2997.7,30.8,527.5,1987.6,451.8
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1986,8.8,7.3,17.7,263.4,153,325.5,376.9,364.6,355.8,311.7,131.2,26.3,2342.2,16.1,434.1,1422.8,469.2
5,SUB-HIMALAYAN W BENGAL & SIKKIM,1986,1.3,5.8,7.9,122.4,152.1,436.4,545.4,363.2,493.9,215.1,15.5,6.4,2365.4,7.1,282.4,1838.9,237
6,GANGETIC WEST BENGAL,1986,9.6,6.3,7.1,48.5,146.1,227.9,313.4,181.2,522.2,201.5,106.4,20.6,1790.8,15.9,201.7,1244.7,328.5
7,ORISSA,1986,25.8,35.8,12.6,41.9,74.5,291.7,348.7,301.8,183,134.9,92.2,17,1559.9,61.6,129,1125.2,244.1
8,JHARKHAND,1986,6.9,21.2,3.8,25,74.8,253,352.2,212.9,188.5,128.2,31.1,37.9,1335.5,28.1,103.6,1006.6,197.2
9,BIHAR ,1986,1.1,13.9,0.5,16,94.3,168.4,395.7,263.1,221.1,125.2,1.3,22.1,1322.7,15,110.8,1048.3,148.6
10,EAST UTTAR PRADESH,1986,7.1,36.5,0.9,5.6,26,116.9,301,245.3,121.2,31.6,1,42.5,935.6,43.6,32.5,784.4,75.1
11,WEST UTTAR PRADESH,1986,14.9,47.3,5.7,3.9,29.8,96.1,202.6,181,105.5,14.8,2,13,716.6,62.2,39.4,585.2,29.8
12,UTTARANCHAL,1986,3.8,67.9,85.2,70.2,148.6,139.5,418.3,281.7,155.5,61.5,13.9,63.5,1509.6,71.7,304,995,138.9
13,"HARYANA, DELHI & CHANDIGARH",1986,7.2,31,12.7,3.3,36,85.1,92.5,108.9,52.9,11.2,0.7,9.5,451,38.2,52,339.4,21.4
14,PUNJAB ,1986,0.7,42.1,24.6,18.9,32.3,92.2,156.4,153,55.1,16,9.5,11.2,612,42.8,75.8,456.7,36.7
15,HIMACHAL PRADESH,1986,7.3,119.3,159.4,105.3,99.1,86.4,240.9,246.9,52.4,43.4,72.7,89.5,1322.6,126.6,363.8,626.6,205.6
16,JAMMU & KASHMIR,1986,23.4,119.6,254.9,180.8,69.4,63.8,256.3,189.5,33.8,52.9,179.9,165.8,1590.1,143,505.1,543.4,398.6
17,WEST RAJASTHAN ,1986,0.5,10.4,2.4,0.3,26,20.5,95.1,44.9,3.5,0.5,0,0.1,204.2,10.9,28.7,164,0.6
18,EAST  RAJASTHAN ,1986,3.9,21.7,1.1,0.6,24.4,54.2,309.8,145,19.2,6.7,0,0.1,586.7,25.6,26.1,528.2,6.8
19,WEST MADHYA PRADESH,1986,9.5,40.5,2.5,0.2,5.3,129.8,470.6,237.5,33.4,6.5,0.1,1.2,937.1,50,8,871.3,7.8
20,EAST MADHYA PRADESH,1986,11.7,99,19.8,1.4,11.6,186.8,317.2,243,82.5,14,1.1,41.1,1029.2,110.7,32.8,829.5,56.2
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",1986,0,0,0.1,0,2,183.1,159.4,148.7,5.8,1.9,1,0,502,0,2.1,497,2.9
22,SAURASHTRA KUTCH & DIU,1986,0,0,0.2,0,2.1,167.9,30.3,96.2,4,0,0,0.1,300.8,0,2.3,298.4,0.1
23,KOKAN & GOA,1986,0,0,0,0.1,1,764,557.7,653.6,63.5,15.2,50.7,3.2,2109,0,1.1,2038.8,69.1
24,MADHYA MAHARASHTRA,1986,1.6,2.7,0.3,2.4,8.6,200.8,126.1,157.9,101,8.9,19.4,14.6,644.3,4.3,11.3,585.8,42.9
25,MARATWADA ,1986,9,10.1,1.6,2.7,6.9,132.8,137.8,125.9,103.6,6.5,9.7,12,558.6,19.1,11.2,500.1,28.2
26,VIDARBHA,1986,11.7,40.5,6.4,4.2,6.5,232.8,353.4,382.2,61.2,12.7,17.2,28.3,1157.1,52.2,17.1,1029.6,58.2
27,CHATTISGARH,1986,23.5,44.2,8.5,11.2,8.2,347.5,368.6,317.5,95.6,63.3,31.3,22.5,1341.9,67.7,27.9,1129.2,117.1
28,COSTAL ANDHRA PRADESH,1986,62.5,25.1,1.1,21.7,40,79.4,102.3,238.3,95.7,185.7,129.6,9.1,990.5,87.6,62.8,515.7,324.4
29,TELENGANA,1986,29.2,44.4,1.4,18.1,12.4,105.9,208,352.5,73.2,30.3,26.6,14.6,916.6,73.6,31.9,739.6,71.5
30,RAYALSEEMA,1986,44.2,12.3,0,8.8,15.2,61.7,46.2,48.7,112.3,79.3,65.8,7.9,502.4,56.5,24,268.9,153
31,TAMIL NADU & PONDICHERRY,1986,65.5,39,16.1,20.9,62.7,63.4,66.9,115.2,142.3,170.5,133.4,57.1,953,104.5,99.7,387.8,361
32,COASTAL KARNATAKA,1986,0.3,0.1,4.8,6.2,20.9,976.5,723.3,808.9,176.3,102.2,112.5,2.5,2934.5,0.4,31.9,2685,217.2
33,NORTH INTERIOR KARNATAKA,1986,11.9,7.8,1.3,24,38.2,123.9,76.4,129.1,114.3,29.6,62.8,5.4,624.7,19.7,63.5,443.7,97.8
34,SOUTH INTERIOR KARNATAKA,1986,14.7,9.1,3.9,26.3,53.5,208.9,149,207.9,177.8,80.9,94.6,8.3,1034.9,23.8,83.7,743.6,183.8
35,KERALA,1986,5.6,18.7,11.2,63.1,126.7,597.9,324.8,340.3,235.4,165.5,194.7,9.5,2093.4,24.3,201,1498.4,369.7
36,LAKSHADWEEP ,1986,12.4,3,25.3,6.5,102.1,399.2,193.3,218.3,179.9,128.6,147.8,49.5,1465.9,15.4,133.9,990.7,325.9
1,ANDAMAN & NICOBAR ISLANDS,1987,72.4,35.2,20.4,17.7,162.9,343.7,45.3,666.5,378.9,373.4,313.4,334.1,2763.9,107.6,201,1434.4,1020.9
2,ARUNACHAL PRADESH,1987,3.7,72.5,147.7,352,230.8,501.5,754.9,558.8,646.6,101.1,24.1,39.6,3433.3,76.2,730.5,2461.8,164.8
3,ASSAM & MEGHALAYA,1987,11.8,30,115.8,214.6,210.9,570.4,908.2,494,489.3,190.3,54.9,14.2,3304.4,41.8,541.3,2461.9,259.4
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1987,7.7,13.1,68.9,195,144.9,420.8,447.2,422.7,388.6,172.2,74,6.1,2361.2,20.8,408.8,1679.3,252.3
5,SUB-HIMALAYAN W BENGAL & SIKKIM,1987,5.4,47.2,100.7,196.3,153.7,451,791.9,716.5,513.6,151.7,4.1,1.1,3133.2,52.6,450.7,2473,156.9
6,GANGETIC WEST BENGAL,1987,1.8,7.1,18.9,76.6,91.7,146.9,427.4,473,262.6,34.1,43.7,7.7,1591.5,8.9,187.2,1309.9,85.5
7,ORISSA,1987,10.6,3.6,18.4,30.3,55.3,112.3,338.8,190.3,150.2,83.9,102.3,1.7,1097.7,14.2,104,791.6,187.9
8,JHARKHAND,1987,5.9,10.1,10.9,30.3,44.9,93.1,410.8,371.1,299.1,19.7,31.4,5.4,1332.7,16,86.1,1174.1,56.5
9,BIHAR ,1987,0.7,3.7,5.4,37.7,40.1,143.6,452,545.3,379.7,52.8,2.7,2.3,1666,4.4,83.2,1520.6,57.8
10,EAST UTTAR PRADESH,1987,11.1,6.4,2.6,6.4,22.2,20.7,215.9,167.6,289.5,78.7,0,3.5,824.6,17.5,31.2,693.7,82.2
11,WEST UTTAR PRADESH,1987,15.2,13.1,2.7,1.8,39.8,34.6,105,123.7,93.4,30.7,0,7.3,467.3,28.3,44.3,356.7,38
12,UTTARANCHAL,1987,29.7,61.7,30.2,48.8,147.4,55.9,190.3,259,124.1,20,0.2,17.1,984.4,91.4,226.4,629.3,37.3
13,"HARYANA, DELHI & CHANDIGARH",1987,21.3,27.8,12.4,6.4,62.5,27.7,26.4,106.6,18,3.2,0,6.3,318.6,49.1,81.3,178.7,9.5
14,PUNJAB ,1987,23.1,30.8,23.3,14.9,98.3,44.7,44.1,82.2,10.5,34.1,0.2,3.3,409.5,53.9,136.5,181.5,37.6
15,HIMACHAL PRADESH,1987,68.1,84.6,77.9,132.1,214.2,81,90.4,147.8,50.3,76.7,0.8,11.6,1035.5,152.7,424.2,369.5,89.1
16,JAMMU & KASHMIR,1987,31.1,177.6,158.8,162.8,250.8,139.5,60.9,113.8,41.9,125.9,0.3,17.5,1280.9,208.7,572.4,356.1,143.7
17,WEST RAJASTHAN ,1987,6.7,0.5,5.7,0.9,34.8,36.7,22.9,29.3,1.8,0.6,0,3.1,143,7.2,41.4,90.7,3.7
18,EAST  RAJASTHAN ,1987,11.1,4.7,1.6,0.1,21.3,43.6,57.4,222.2,28.5,18.8,0,22.9,432.2,15.8,23,351.7,41.7
